#          x           y           p
#
       1.881     -0.4909           1
      0.8442       3.638           1
       -4.82       3.032           1
     0.08489      -1.864           1
       3.776     -0.6243           1
      -4.972       3.028           1
      -1.688      -4.855           1
       4.775       1.416           1
      0.8094       3.792           1
       4.046       2.759           1
      -2.284      -3.277           2
       4.297     -0.6672           2
      -3.363       1.582           2
     -0.3585      -2.003           2
       4.832      -3.581           2
       3.928      -4.575           2
     0.06841     -0.4541           2
       4.168      -2.082           2
      -3.936      0.6114           2
       3.828       2.251           2
       2.367       4.413           2
       1.655      -3.334           2
       3.471       4.704           2
      -4.161       1.405           2
     -0.8642       3.551           2
       1.912        2.16           2
      -2.651      -1.749           2
       3.986       1.788           2
      -1.389    -0.03697           2
      -3.572      -0.482           2
      -3.965       2.638          10
      -4.228    0.004824          10
       4.952      -1.898          10
       4.281       3.109          10
      -2.307     -0.2214          10
      -3.477      -4.463          10
      -2.368       1.957          10
       4.429       2.854          10
        -1.3      -1.106          10
      -2.747       2.512          10
       2.175      -3.598          10
       1.643       3.416          10
       1.728        1.34          10
      -4.324      -4.117          10
      -2.381      -4.851          10
      -3.458      0.5488          10
     0.01814       2.292          10
      -4.381      -4.424          10
      -1.206       4.398          10
       4.858      -1.743          10
       3.974       0.584          10
       4.549      -1.645          10
      -1.101      -3.156          10
       -1.54      -3.386          10
        1.64    -0.08036          10
       1.372      0.2298          10
      -1.505      -1.062          10
      0.1108       3.765          10
      -4.712       2.296          10
      -1.932       0.188          10
       0.659      0.7683          10
      -2.791       -1.54          10
        1.08      -4.501          10
       0.783       4.901          10
      -3.938      -1.411          10
     -0.4131     -0.1923          10
       3.234      0.8433          10
       4.369      -3.785          10
      -1.143      -3.486          10
       2.815         1.3          10
      -4.632       4.135          10
      -3.925     -0.3895          10
       1.638       2.839          10
       1.463      -1.786          10
     -0.1498      -2.078          10
        2.26      -2.555          10
      -4.648       1.977          10
     -0.7347      0.5589          10
      -2.029      -4.513          10
     -0.6934      0.8022          10
       2.109       4.828          10
       0.945       3.824          10
      0.9621       1.346          10
      -1.751       4.551          10
      0.6474      -2.875          10
       4.118      -1.213          10
      -2.108       1.497          10
      -3.094       4.979          10
     -0.8779      -2.739          10
       0.413       0.415          10
      -0.388       -3.68          10
        1.65      -1.311          10
       4.775       -1.49          10
       2.699      -1.969          10
      -3.057      -4.356          10
      -3.703       2.674          10
       3.819      -2.489          10
       4.105       -3.93          10
       2.234       3.708          10
       3.149      -1.815          10
